n11,Q11,Efficiency
87.98456819,0.794062726,0.650304658
99.04739771,0.816892588,0.687157535
110.4791564,0.839767232,0.715745963
123.2009721,0.858603966,0.739512191
135.00166,0.884298056,0.747784697
147.3548121,0.911378545,0.750203643
160.2620221,0.941203841,0.746080748
173.3535638,0.971060859,0.736103869
185.8921101,1.002313605,0.718551669
201.1966958,1.040408778,0.688260564
70.52059124,1.155843722,0.635266398
77.71670275,1.204386332,0.676948261
86.20180879,1.251585461,0.716563587
96.71509582,1.302841159,0.757557594
108.5184398,1.350062679,0.793040696
118.109271,1.391960652,0.810960148
125.6711245,1.42306972,0.819923055
134.1551681,1.455563321,0.823376753
142.6389461,1.493539074,0.815124179
150.9370642,1.519384305,0.79550417
159.4211079,1.553342674,0.778641523
167.9056827,1.594137873,0.750073026
179.5252261,1.643124579,0.709799105
194.2794725,1.704364959,0.658165384
66.70460431,1.569096865,0.621277309
73.90124703,1.629844634,0.660552524
81.28328397,1.696048433,0.692942395
88.84805907,1.748718519,0.722917561
96.41283417,1.800086173,0.743250446
104.529011,1.850125273,0.758761978
110.9840768,1.873192109,0.751882147
118.177001,1.904429928,0.737084763
125.5547882,1.937037351,0.719532987
133.484774,1.966991398,0.691649802
139.2025126,1.994213698,0.667897994
145.8435039,2.029603249,0.636917337
